episode,rating,votes
246.0,8.0,1342.0
247.0,8.2,1380.0
248.0,8.2,1360.0
249.0,8.2,1370.0
250.0,9.0,3187.0
251.0,8.9,2694.0
252.0,8.0,1304.0
253.0,7.8,1263.0
254.0,8.1,1358.0
255.0,7.9,1277.0
256.0,7.8,1232.0
257.0,8.0,1299.0
258.0,8.0,1338.0
259.0,7.3,1215.0
260.0,7.7,1226.0
261.0,7.9,1268.0
262.0,8.3,1606.0
263.0,8.0,1265.0
264.0,8.0,1299.0
265.0,7.8,1231.0
266.0,7.8,1208.0
267.0,7.9,1241.0
268.0,7.9,1248.0
269.0,8.0,1283.0
270.0,8.7,2334.0
271.0,8.1,1395.0
272.0,8.4,1785.0
273.0,9.3,4026.0
274.0,9.5,5666.0
275.0,9.0,3475.0
276.0,9.1,3476.0
277.0,9.4,4613.0
278.0,9.7,21495.0
279.0,6.2,1021.0
280.0,5.8,1029.0
281.0,6.0,1014.0
282.0,5.8,1006.0
283.0,5.8,998.0
284.0,8.1,1358.0
285.0,7.8,1214.0
286.0,7.9,1230.0
287.0,7.8,1216.0
288.0,8.1,1260.0
289.0,8.0,1277.0
290.0,8.6,2134.0
291.0,5.8,1054.0
292.0,5.6,1114.0
293.0,7.9,1277.0
294.0,8.1,1295.0
295.0,7.7,1183.0
296.0,8.1,1317.0
297.0,8.2,1299.0
298.0,8.6,2019.0
299.0,8.3,1515.0
300.0,9.2,3713.0
301.0,9.2,3558.0
302.0,8.2,1382.0
303.0,5.8,1048.0
304.0,9.0,3363.0
305.0,8.9,3143.0
306.0,8.1,1294.0
307.0,8.3,1587.0
308.0,9.0,3296.0
309.0,9.7,22543.0
310.0,9.2,3569.0
311.0,9.0,3276.0
312.0,9.7,22087.0
313.0,8.7,2299.0
314.0,9.2,3577.0
315.0,8.3,1577.0
316.0,9.2,3690.0
317.0,6.3,956.0
318.0,6.2,1004.0
319.0,6.7,937.0
320.0,8.1,1290.0
321.0,7.9,1207.0
322.0,8.0,1229.0
323.0,8.5,1457.0
324.0,8.2,1371.0
325.0,9.3,3775.0
326.0,6.7,865.0
327.0,6.3,875.0
328.0,6.4,869.0
329.0,6.5,854.0
330.0,6.3,835.0
331.0,6.4,827.0
332.0,6.5,827.0
333.0,6.3,831.0
334.0,6.6,816.0
335.0,6.6,824.0
336.0,5.2,1133.0
337.0,8.2,1373.0
338.0,8.1,1242.0
339.0,7.5,1120.0
340.0,7.5,1099.0
341.0,7.6,1117.0
342.0,7.5,1110.0
343.0,7.6,1069.0
344.0,7.5,1102.0
345.0,7.0,1065.0
346.0,7.5,1055.0
347.0,7.4,1052.0
348.0,7.7,1076.0
349.0,7.8,1084.0
350.0,7.7,1065.0
351.0,7.5,1059.0
352.0,7.6,1065.0
353.0,8.3,1231.0
354.0,7.2,1064.0
355.0,7.6,1064.0
356.0,7.7,1058.0
357.0,7.8,1090.0
358.0,7.6,1057.0
359.0,7.5,1093.0
360.0,7.7,1077.0
361.0,7.8,1098.0
362.0,8.2,1233.0
363.0,7.6,1056.0
364.0,7.2,1052.0
365.0,7.5,1047.0
366.0,7.4,1048.0
367.0,8.0,1124.0
368.0,7.9,1125.0
369.0,8.1,1132.0
370.0,7.9,1119.0
371.0,8.0,1126.0
372.0,9.0,2971.0
373.0,8.9,2686.0
374.0,8.5,1637.0
375.0,8.2,1354.0
376.0,9.1,3301.0
377.0,9.8,65062.0
378.0,8.3,1419.0
379.0,8.2,1282.0
380.0,9.3,3945.0
381.0,8.3,1265.0
382.0,6.3,854.0
383.0,6.3,850.0
384.0,7.3,933.0
385.0,7.5,1113.0
386.0,7.4,1076.0
387.0,7.3,1062.0
388.0,7.6,1074.0
389.0,7.7,1098.0
390.0,7.6,1188.0
391.0,7.9,1396.0
392.0,8.3,1613.0
393.0,8.2,1532.0
394.0,8.1,1436.0
395.0,8.3,1586.0
396.0,9.7,16459.0
397.0,9.3,4365.0
398.0,9.1,3236.0
399.0,9.1,3233.0
400.0,9.4,4508.0
401.0,9.1,3211.0
402.0,9.1,3284.0
403.0,9.2,3374.0
404.0,9.6,6901.0
405.0,9.8,55792.0
406.0,5.6,997.0
407.0,5.6,981.0
408.0,7.5,1213.0
409.0,7.7,1268.0
410.0,7.7,1259.0
411.0,7.8,1378.0
412.0,8.3,1835.0
413.0,8.9,2906.0
